id,text,avg word length,word count,syllable per word,total syllables,avg sentence length,sentence count,reading time
1,"The #1 New York Times Bestseller, USA Today Book of the Year, now a major motion picture starring Emily Blunt. Don't miss Paula Hawkins' new novel, Into the Water, coming May 2017.   The debut psychological thriller that will forever change the way you look at other people's lives.   “Nothing is more addicting than The Girl on the Train.”—Vanity Fair  “The Girl on the Train has more fun with unreliable narration than any chiller since Gone Girl. . . . [It] is liable to draw a large, bedazzled readership.”—The New York Times   “Marries movie noir with novelistic trickery. . . hang on tight. You'll be surprised by what horrors lurk around the bend.”—USA Today   “Like its train, the story blasts through the stagnation of these lives in suburban London and the reader cannot help but turn pages.”—The Boston Globe  “Gone Girl fans will devour this psychological thriller.”—People      EVERY DAY THE SAME Rachel takes the same commuter train every morning and night. Every day she rattles down the track, flashes past a stretch of cozy suburban homes, and stops at the signal that allows her to daily watch the same couple breakfasting on their deck. She’s even started to feel like she knows them. Jess and Jason, she calls them. Their life—as she sees it—is perfect. Not unlike the life she recently lost.  UNTIL TODAY And then she sees something shocking. It’s only a minute until the train moves on, but it’s enough. Now everything’s changed. Unable to keep it to herself, Rachel goes to the police. But is she really as unreliable as they say? Soon she is deeply entangled not only in the investigation but in",4,276,0.34306569343065696,94,12,22,85.9
2,"""The Eighth Story. Nineteen Years Later.  Based on an original new story by J.K. Rowling, Jack Thorne and John Tiffany, a new play by Jack Thorne, Harry Potter and the Cursed Child is the eighth story in the Harry Potter series and the first official Harry Potter story to be presented on stage. The play will receive its world premiere in London’s West End on July 30, 2016.   It was always difficult being Harry Potter and it isn’t much easier now that he is an overworked employee of the Ministry of Magic, a husband and father of three school-age children.  While Harry grapples with a past that refuses to stay where it belongs, his youngest son Albus must struggle with the weight of a family legacy he never wanted. As past and present fuse ominously, both father and son learn the uncomfortable truth: sometimes, darkness comes from unexpected places.",4,149,0.36551724137931035,53,18,8,47.6
3,"Read the New York Times bestseller that has taken the world by storm!  Meet Ove. He’s a curmudgeon—the kind of man who points at people he dislikes as if they were burglars caught outside his bedroom window. He has staunch principles, strict routines, and a short fuse. People call him “the bitter neighbor from hell.” But must Ove be bitter just because he doesn’t walk around with a smile plastered to his face all the time?  Behind the cranky exterior there is a story and a sadness. So when one November morning a chatty young couple with two chatty young daughters move in next door and accidentally flatten Ove’s mailbox, it is the lead-in to a comical and heartwarming tale of unkempt cats, unexpected friendship, and the ancient art of backing up a U-Haul. All of which will change one cranky old man and a local residents’ association to their very foundations.  A feel-good story in the spirit of The Unlikely Pilgrimage of Harold Fryand Major Pettigrew’s Last Stand, Fredrik Backman’s novel about the angry old man next door is a thoughtful exploration of the profound impact one life has on countless others. “If there was an award for ‘Most Charming Book of the Year,’ this first novel by a Swedish blogger-turned-overnight-sensation would win hands down” (Booklist, starred review).",4,219,0.39436619718309857,84,26,8,73.6
4,"#1 New York Times bestseller Milk and Honey is a collection of poetry and prose about survival. About the experience of violence, abuse, love, loss, and femininity.  The book is divided into four chapters, and each chapter serves a different purpose. Deals with a different pain. Heals a different heartache. Milk and Honey takes readers through a journey of the most bitter moments in life and finds sweetness in them because there is sweetness everywhere if you are just willing to look.",5,82,0.3684210526315789,28,12,6,25.5
5,"#1 NEW YORK TIMES BESTSELLER #1 USA TODAY BESTSELLER  Notable Book of 2016 --Washington Post 10 Favorite Books of 2016 -- Colette Bancroft, Tampa Bay Times 10 Best Mysteries of 2016 -- Adam Woog, Seattle Times  Detective Harry Bosch must track down someone who may never have existed in the new thriller from #1 New York Times bestselling author Michael Connelly.  Harry Bosch is California's newest private investigator. He doesn't advertise, he doesn't have an office, and he's picky about who he works for, but it doesn't matter. His chops from thirty years with the LAPD speak for themselves.  Soon one of Southern California's biggest moguls comes calling. The reclusive billionaire is nearing the end of his life and is haunted by one regret. When he was young, he had a relationship with a Mexican girl, his great love. But soon after becoming pregnant, she disappeared. Did she have the baby? And if so, what happened to it?  Desperate to know whether he has an heir, the dying magnate hires Bosch, the only person he can trust. With such a vast fortune at stake, Harry realizes that his mission could be risky not only for himself but for the one he's seeking. But as he begins to uncover the haunting story--and finds uncanny links to his own past--he knows he cannot rest until he finds the truth.  At the same time, unable to leave cop work behind completely, he volunteers as an investigator for a tiny cash-strapped police department and finds himself tracking a serial rapist who is one of the most baffling and dangerous foes he has ever faced.   Swift, unpredictable, and thrilling, The Wrong Side of Goodbye shows that Michael Connelly ""continues to amaze with his consistent skill and sizzle"" (Cleveland Plain Dealer)",4,295,0.3958333333333333,114,22,13,90.0
6,"#1 New York Times bestselling author Nicholas Sparks returns with an emotionally powerful story of unconditional love, its challenges, its risks and most of all, its rewards.  At 32, Russell Green has it all: a stunning wife, a lovable six year-old daughter, a successful career as an advertising executive and an expansive home in Charlotte. He is living the dream, and his marriage to the bewitching Vivian is the center of that. But underneath the shiny surface of this perfect existence, fault lines are beginning to appear...and no one is more surprised than Russ when he finds every aspect of the life he took for granted turned upside down. In a matter of months, Russ finds himself without a job or wife, caring for his young daughter while struggling to adapt to a new and baffling reality. Throwing himself into the wilderness of single parenting, Russ embarks on a journey at once terrifying and rewarding-one that will test his abilities and his emotional resources beyond anything he ever imagined.",4,169,0.4146341463414634,68,27,6,52.3
7,"#1 NEW YORK TIMES BESTSELLER • The incomparable hero of Jack Reacher: Never Go Back takes readers to school in his most explosive novel yet. After eleven straight global #1 bestsellers, discover the thrillers that The New York Times calls “utterly addictive.”  It’s 1996, and Reacher is still in the army. In the morning they give him a medal, and in the afternoon they send him back to school. That night he’s off the grid. Out of sight, out of mind.  Two other men are in the classroom—an FBI agent and a CIA analyst. Each is a first-rate operator, each is fresh off a big win, and each is wondering what the hell they are doing there.  Then they find out: A Jihadist sleeper cell in Hamburg, Germany, has received an unexpected visitor—a Saudi courier, seeking safe haven while waiting to rendezvous with persons unknown. A CIA asset, undercover inside the cell, has overheard the courier whisper a chilling message: “The American wants a hundred million dollars.”  For what? And who from? Reacher and his two new friends are told to find the American. Reacher recruits the best soldier he has ever worked with: Sergeant Frances Neagley. Their mission heats up in more ways than one, while always keeping their eyes on the prize: If they don’t get their man, the world will suffer an epic act of terrorism.  From Langley to Hamburg, Jalalabad to Kiev, Night School moves like a bullet through a treacherous landscape of double crosses, faked identities, and new and terrible enemies, as Reacher maneuvers inside the game and outside the law.  Praise for Night School  “The prose is crisp and clean, and the fighting is realistic. . . . This latest installment has all the classic ingredients: a great setting (Hamburg), a good villain, and a mystery that draws you in efficiently, escalates unpredictably, and has a satisfying resolution.”—The New Yorker   “Another timely tour de force . . . The taut thriller is textbook [Lee] Child: fast-paced and topical with a ‘ripped from the headlines’ feel.”—Minneapolis Star-Tribune   “As gripping as ever.”—The Florida Times-Union  Praise for #1 bestselling author Lee Child and his Jack Reacher series  “Reacher [is] one of this century’s most original, tantalizing pop-fiction heroes.”—The Washington Post",4,373,0.38268156424581007,137,17,20,116.5
8,"One of O, The Oprah Magazine’s Ten Best Books of the Year!   The New York Times bestselling collection of essays from beloved poet, Mary Oliver.    “In the beginning I was so young and such a stranger to myself I hardly existed. I had to go out into the world and see it and hear it and react to it, before I knew at all who I was, what I was, what I wanted to be.”   So begins Upstream, a collection of essays in which revered poet Mary Oliver reflects on her willingness, as a young child and as an adult, to lose herself within the beauty and mysteries of both the natural world and the world of literature. Emphasizing the significance of her childhood “friend” Walt Whitman, through whose work she first understood that a poem is a temple, “a place to enter, and in which to feel,” and who encouraged her to vanish into the world of her writing, Oliver meditates on the forces that allowed her to create a life for herself out of work and love. As she writes, “I could not be a poet without the natural world. Someone else could. But not me. For me the door to the woods is the door to the temple.”    Upstream follows Oliver as she contemplates the pleasure of artistic labor, her boundless curiosity for the flora and fauna that surround her, and the responsibility she has inherited from Shelley, Wordsworth, Emerson, Poe, and Frost, the great thinkers and writers of the past, to live thoughtfully, intelligently, and to observe with passion. Throughout this collection, Oliver positions not just herself upstream but us as well as she encourages us all to keep moving, to lose ourselves in the awe of the unknown, and to give power and time to the creative and whimsical urges that live within us.",4,309,0.5,146,32,9,83.8
9,"If you want to build a better future, you must believe in secrets.  The great secret of our time is that there are still uncharted frontiers to explore and new inventions to create. In Zero to One, legendary entrepreneur and investor Peter Thiel shows how we can find singular ways to create those new things.   Thiel begins with the contrarian premise that we live in an age of technological stagnation, even if we’re too distracted by shiny mobile devices to notice. Information technology has improved rapidly, but there is no reason why progress should be limited to computers or Silicon Valley. Progress can be achieved in any industry or area of business. It comes from the most important skill that every leader must master: learning to think for yourself.  Doing what someone else already knows how to do takes the world from 1 to n, adding more of something familiar. But when you do something new, you go from 0 to 1. The next Bill Gates will not build an operating system. The next Larry Page or Sergey Brin won’t make a search engine. Tomorrow’s champions will not win by competing ruthlessly in today’s marketplace. They will escape competition altogether, because their businesses will be unique.   Zero to One presents at once an optimistic view of the future of progress in America and a new way of thinking about innovation: it starts by learning to ask the questions that lead you to find value in unexpected places.",4,247,0.4107883817427386,99,17,14,80.6
10,"The #1 New York Times bestselling debut novel that introduced Khaled Hosseini to millions of readers the world over.   The unforgettable, heartbreaking story of the unlikely friendship between a wealthy boy and the son of his father’s servant, caught in the tragic sweep of history, The Kite Runner transports readers to Afghanistan at a tense and crucial moment of change and destruction. A powerful story of friendship, it is also about the power of reading, the price of betrayal, and the possibility of redemption; and an exploration of the power of fathers over sons—their love, their sacrifices, their lies.   Since its publication in 2003 Kite Runner has become a beloved, one-of-a-kind classic of contemporary literature, touching millions of readers, and launching the career of one of America's most treasured writers. Propelled by the same superb instinct for storytelling that made The Kite Runner a beloved classic, A Thousand Splendid Suns is at once an incredible chronicle of thirty years of Afghan history and a deeply moving story of family, friendship, faith, and the salvation to be found in love.",5,179,0.41379310344827586,72,34,5,40.6
